本次同步覆盖 938 条，实际内容变化 208 条：
变化字段统计: 限选人数×161, 课程英文名称×30, 上课时间地点×11, 教师姓名×6, 上课班级×6, 上课时间×6, 上课周次×4

202620271001882 | 合同法 | 变化: 教师姓名
202620271005133 | 身体运动功能 | 变化: 限选人数
202620271005134 | 身体运动功能 | 变化: 限选人数
202620271005135 | 身体运动功能 | 变化: 限选人数
202620271005136 | 身体运动功能 | 变化: 限选人数
202620271005137 | 身体运动功能 | 变化: 限选人数
202620271005138 | 身体运动功能 | 变化: 限选人数
202620271005139 | 身体运动功能 | 变化: 限选人数
202620271005140 | 身体运动功能 | 变化: 限选人数
202620271005141 | 身体运动功能 | 变化: 限选人数
202620271005142 | 身体运动功能 | 变化: 限选人数
202620271005143 | 身体运动功能 | 变化: 限选人数
202620271005144 | 身体运动功能 | 变化: 限选人数
202620271005145 | 身体运动功能 | 变化: 限选人数
202620271005146 | 身体运动功能 | 变化: 限选人数
202620271005147 | 身体运动功能 | 变化: 限选人数
202620271005148 | 身体运动功能 | 变化: 限选人数
202620271005149 | 身体运动功能 | 变化: 限选人数
202620271005150 | 身体运动功能 | 变化: 限选人数
202620271005151 | 身体运动功能 | 变化: 限选人数
202620271005152 | 身体运动功能 | 变化: 限选人数
202620271005153 | 身体运动功能 | 变化: 限选人数
202620271005154 | 身体运动功能 | 变化: 限选人数
202620271005155 | 身体运动功能 | 变化: 限选人数
202620271005156 | 身体运动功能 | 变化: 限选人数
202620271005157 | 身体运动功能 | 变化: 限选人数
202620271005158 | 身体运动功能 | 变化: 限选人数
202620271005159 | 身体运动功能 | 变化: 限选人数
202620271005160 | 身体运动功能 | 变化: 限选人数
202620271005161 | 身体运动功能 | 变化: 限选人数
202620271005162 | 身体运动功能 | 变化: 限选人数
202620271005163 | 身体运动功能 | 变化: 限选人数
202620271004791 | 体育A | 变化: 上课班级
202620271005504 | 侵权责任法 | 变化: 教师姓名
202620271003840 | 数据科学与人工智能I | 变化: 课程英文名称
202620271001684 | 无机化学 | 变化: 上课班级
202620271001714 | 经济管理类专业导论 | 变化: 上课周次、上课时间地点、上课时间
202620271000023 | 高级读写 | 变化: 课程英文名称
202620271000080 | 高级读写 | 变化: 课程英文名称
202620271000643 | 人文与经管类专业导论 | 变化: 教师姓名
202620271001153 | 沟通与写作 | 变化: 上课周次、上课时间地点、上课时间
202620271001167 | 舌尖上的历史与文化 | 变化: 限选人数
202620271003596 | 形势与政策 | 变化: 上课班级
202620271003650 | 形势与政策 | 变化: 上课班级
202620271001602 | 大学生心理健康 | 变化: 教师姓名
202620271001222 | 大学生心理健康 | 变化: 教师姓名
202620271004627 | 大学生心理健康 | 变化: 教师姓名
202620271002045 | 军事理论课 | 变化: 上课班级、限选人数、上课时间地点
202620271003073 | 军事理论课 | 变化: 上课班级
202620271000571 | 英语语音 | 变化: 限选人数
202620271000402 | 大学日语（一） | 变化: 上课周次、上课时间地点、上课时间
202620271001080 | 汉字与中华农耕文明 | 变化: 上课周次、上课时间地点、上课时间
202620271004735 | 中华民族共同体音乐概论 | 变化: 课程英文名称
202620271004731 | 中国农耕文化国际传播 | 变化: 课程英文名称
202620271001821 | 中国共产党党史 | 变化: 限选人数、上课时间地点
202620271001087 | 中华人民共和国史 | 变化: 限选人数、上课时间地点
202620271004196 | 程序设计I与实验(辅修) | 变化: 限选人数、上课时间地点、上课时间
202620271004219 | 大数据存储处理技术与实验（辅修） | 变化: 上课时间地点、上课时间
202620271004220 | 大数据分析与可视化技术与实验（辅修） | 变化: 限选人数、上课时间地点
202620271000209 | 生物学 | 变化: 课程英文名称
202620271001540 | 生物学 | 变化: 课程英文名称
202620271000993 | 生物学 | 变化: 课程英文名称
202620271000540 | 生物学 | 变化: 课程英文名称
202620271000747 | 生物学 | 变化: 课程英文名称
202620271000748 | 生物学 | 变化: 课程英文名称
202620271002164 | 生物学 | 变化: 课程英文名称
202620271000733 | 画法几何与工程制图 | 变化: 限选人数
202620271004760 | 程序设计A | 变化: 限选人数
202620271002943 | 程序设计A | 变化: 限选人数
202620271000149 | 工程思维：从创意到创新 | 变化: 限选人数
202620271002033 | 管理学原理 | 变化: 限选人数
202620271001517 | 管理学原理 | 变化: 限选人数
202620271000511 | 微观经济学 | 变化: 限选人数
202620271001711 | 智慧农业导论 | 变化: 限选人数
202620271000910 | 基础化学 | 变化: 限选人数
202620271002957 | 基础化学实验 | 变化: 限选人数
202620271000113 | 无机及分析化学实验 | 变化: 限选人数
202620271001277 | 无机及分析化学实验 | 变化: 限选人数
202620271002089 | 无机及分析化学实验 | 变化: 限选人数
202620271002866 | 无机及分析化学实验 | 变化: 限选人数
202620271001667 | 线性代数 | 变化: 限选人数
202620271000049 | 一元微积分 | 变化: 课程英文名称
202620271000051 | 一元微积分 | 变化: 课程英文名称
202620271002094 | 一元微积分 | 变化: 课程英文名称
202620271000127 | 一元微积分 | 变化: 课程英文名称
202620271002098 | 一元微积分 | 变化: 课程英文名称
202620271000012 | 一元微积分 | 变化: 课程英文名称
202620271000028 | 一元微积分 | 变化: 课程英文名称
202620271001722 | 一元微积分 | 变化: 课程英文名称
202620271001808 | 一元微积分 | 变化: 课程英文名称
202620271001276 | 一元微积分 | 变化: 课程英文名称
202620271001916 | 一元微积分 | 变化: 课程英文名称
202620271002198 | 一元微积分 | 变化: 课程英文名称
202620271002364 | 一元微积分 | 变化: 课程英文名称
202620271001994 | 一元微积分 | 变化: 课程英文名称
202620271000230 | 一元微积分 | 变化: 课程英文名称
202620271001518 | 一元微积分 | 变化: 课程英文名称
202620271002289 | 一元微积分 | 变化: 课程英文名称
202620271002293 | 一元微积分 | 变化: 课程英文名称
202620271000223 | 微积分I | 变化: 上课时间地点
202620271001019 | 生命科学导论 | 变化: 限选人数
